smurvation_id,mushotel_type,is_canceled,booking_lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,weekend_stays,weekday_stays,wisymurfs,smurflings,number_of_babies,meal_type,smurfland,market_segment,booking_channel,smurfy_smurf,number_of_previous_cancellations,previous_bookings_not_canceled,requested_mushroom_type,allocated_mushroom_type,booking_changes,deposit_type,agent,moberry,days_in_waiting_list,customer_type,average_daily_rate,smurfberry_spaces_required,number_of_special_requests,smurvation_status_date,mushotel_location
30732,Smurfy Mushotel,0,23,Smurfy Passage,Merrysnow,49,2,0,1,2,0.0,0,BB,SMF,Smurfy Way,Smurfy Way,0,0,0,E,E,0,No Deposit,,,0,Swift-Smurf,75.0,0,0,"Merrysnow, Smurfy Passage - 03",Smurfy Jungle
84429,Village Mushotel,0,1,Smurfy Passage,Sparkleuary,9,25,0,1,2,1.0,2,BB,SMF,Smurfy Way,Smurfy Way,0,0,0,G,G,0,No Deposit,,,0,Swift-Smurf,227.0,0,3,"Sparkleuary, Smurfy Passage - 26",Smurfy Jungle
67919,Village Mushotel,1,305,Blissful Beams,Rainboway,19,9,0,3,2,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Swift-Party,89.1,0,0,"Smurfly, Smurfy Passage - 08",Smurfy Jungle
113260,Village Mushotel,0,125,Blissful Beams,Sunspark,22,2,1,2,3,0.0,0,HB,USA,Giggleline TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Swift-Smurf,216.0,0,0,"Sunspark, Blissful Beams - 05",Smurfy Jungle
71690,Village Mushotel,1,187,Blissful Beams,Smurfly,28,10,1,2,3,0.0,0,BB,FRK,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,156.6,0,0,"Blossommonth, Blissful Beams - 05",Smurfy Jungle
54703,Village Mushotel,0,199,Smurfy Passage,Smurfly,30,23,3,6,2,1.0,0,BB,MCN,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Swift-Smurf,94.51,0,2,"Harvestember, Smurfy Passage - 01",Smurfy Jungle
21256,Smurfy Mushotel,0,31,Smurfy Passage,Sparkleuary,8,19,2,3,3,0.0,0,HB,POL,Giggleline TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Swift-Smurf,76.38,0,2,"Sparkleuary, Smurfy Passage - 24",Smurfy Jungle
28591,Smurfy Mushotel,0,0,Smurfy Passage,Frostwisp,41,6,0,0,2,0.0,0,BB,SMF,Smurfy Way,Smurfy Way,1,0,0,A,I,0,No Deposit,,,0,Swift-Party,0.0,0,0,"Frostwisp, Smurfy Passage - 06",Smurfy Jungle
97017,Village Mushotel,0,34,Smurfy Passage,Goldenleaf,37,9,0,2,2,0.0,0,BB,CHN,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,135.9,0,1,"Goldenleaf, Smurfy Passage - 11",Smurfy Jungle
26454,Smurfy Mushotel,0,32,Smurfy Passage,Smurfly,31,25,2,5,2,0.0,0,BB,MRA,Giggleline TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,,0,Swift-Smurf,209.0,0,1,"Harvestember, Smurfy Passage - 01",Smurfy Jungle
225,Smurfy Mushotel,0,394,Wisdom Whirlwind,Smurfly,28,8,2,5,2,0.0,0,HB,WSD,Gigglefree TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Leaf,89.68,0,0,"Smurfly, Wisdom Whirlwind - 15",Smurfy Jungle
1038,Smurfy Mushotel,1,83,Wisdom Whirlwind,Harvestember,33,11,0,4,2,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,120.6,0,0,"Rainboway, Wisdom Whirlwind - 23",Smurfy Jungle
17657,Smurfy Mushotel,0,287,Wisdom Whirlwind,Frostwisp,42,15,1,3,1,0.0,0,BB,WSD,Squads,Corporate,0,0,0,A,A,1,No Deposit,,223.0,0,Swift-Party,37.0,0,0,"Frostwisp, Wisdom Whirlwind - 19",Smurfy Jungle
86872,Village Mushotel,0,10,Smurfy Passage,Sproutpril,15,9,1,1,1,0.0,0,HB,SMF,Squads,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Swift-Party,70.0,0,0,"Sproutpril, Smurfy Passage - 11",Smurfy Jungle
90344,Village Mushotel,0,93,Smurfy Passage,Sunspark,23,3,0,2,2,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Swift-Smurf,80.75,0,1,"Sunspark, Smurfy Passage - 05",Smurfy Jungle
22095,Smurfy Mushotel,0,36,Smurfy Passage,Merrysnow,51,16,0,1,3,0.0,0,BB,SMF,Corporate,Corporate,1,0,2,A,D,0,No Deposit,,,0,Swift-Smurf,65.0,0,1,"Merrysnow, Smurfy Passage - 17",Smurfy Jungle
49831,Village Mushotel,1,138,Smurfy Passage,Sproutpril,17,20,0,4,2,0.0,0,BB,MCN,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,90.95,0,1,"Sproutpril, Smurfy Passage - 15",Smurfy Jungle
79581,Village Mushotel,0,34,Wisdom Whirlwind,Frostwisp,44,25,2,3,2,0.0,0,BB,FRK,Gigglefree TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Swift-Smurf,75.0,0,0,"Frostwisp, Wisdom Whirlwind - 30",Smurfy Jungle
86549,Village Mushotel,0,55,Smurfy Passage,Sproutpril,15,3,2,1,2,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,28.0,,0,Swift-Party,75.0,0,1,"Sproutpril, Smurfy Passage - 06",Smurfy Jungle
1988,Smurfy Mushotel,0,119,Wisdom Whirlwind,Goldenleaf,39,25,2,6,2,0.0,0,BB,WSD,Giggleline TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Swift-Smurf,85.5,1,1,"Frostwisp, Wisdom Whirlwind - 03",Smurfy Jungle
116331,Village Mushotel,0,7,Blissful Beams,Smurfly,29,17,1,0,2,0.0,0,BB,MRA,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,160.0,0,1,"Smurfly, Blissful Beams - 18",Smurfy Jungle
96015,Village Mushotel,0,42,Smurfy Passage,Harvestember,35,23,0,5,3,0.0,0,BB,MRA,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,168.3,0,0,"Harvestember, Smurfy Passage - 28",Smurfy Jungle
113656,Village Mushotel,0,48,Blissful Beams,Sunspark,23,6,0,4,2,0.0,0,BB,WSD,Giggleline TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,,0,Swift-Smurf,180.0,0,1,"Sunspark, Blissful Beams - 10",Smurfy Jungle
94367,Village Mushotel,0,191,Smurfy Passage,Harvestember,32,1,1,2,3,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,22.0,,0,Swift-Smurf,96.9,0,0,"Harvestember, Smurfy Passage - 04",Smurfy Jungle
12121,Smurfy Mushotel,1,146,Blissful Beams,Sunspark,24,14,2,5,2,0.0,0,BB,IRL,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,110.0,0,0,"Blossommonth, Blissful Beams - 20",Smurfy Jungle
115391,Village Mushotel,0,405,Blissful Beams,Smurfly,27,4,0,2,2,0.0,0,HB,CHE,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Swift-Party,114.4,0,0,"Smurfly, Blissful Beams - 06",Smurfy Jungle
89170,Village Mushotel,0,195,Smurfy Passage,Rainboway,21,16,1,2,1,0.0,0,BB,ARG,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Leaf,76.16,0,0,"Rainboway, Smurfy Passage - 19",Smurfy Jungle
83347,Village Mushotel,0,11,Smurfy Passage,Blossommonth,5,28,0,1,2,0.0,0,SC,SMF,Giggleline TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,,0,Swift-Smurf,62.83,0,1,"Blossommonth, Smurfy Passage - 29",Smurfy Jungle
102665,Village Mushotel,0,23,Smurfy Passage,Merrysnow,49,3,0,1,2,0.0,0,BB,SMF,Smurfy Way,Smurfy Way,0,0,0,A,B,0,No Deposit,14.0,,0,Swift-Smurf,79.2,0,1,"Merrysnow, Smurfy Passage - 04",Smurfy Jungle
22319,Smurfy Mushotel,0,28,Smurfy Passage,Frostmarch,13,21,1,1,2,0.0,0,BB,MRA,Smurfy Way,Smurfy Way,0,0,0,D,G,2,No Deposit,250.0,,0,Swift-Smurf,55.0,0,1,"Frostmarch, Smurfy Passage - 23",Smurfy Jungle
61936,Village Mushotel,1,237,Smurfy Passage,Merrysnow,53,28,2,5,2,2.0,0,BB,USA,Giggleline TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Swift-Smurf,148.26,0,0,"Sunspark, Smurfy Passage - 13",Smurfy Jungle
102484,Village Mushotel,0,35,Smurfy Passage,Hearthglen,49,28,1,1,2,0.0,0,BB,MCN,Squads,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Swift-Party,75.0,0,1,"Hearthglen, Smurfy Passage - 30",Smurfy Jungle
59395,Village Mushotel,1,464,Smurfy Passage,Frostwisp,44,28,0,2,2,0.0,0,BB,SMF,Squads,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,391,Swift-Smurf,65.0,0,0,"Goldenleaf, Smurfy Passage - 20",Smurfy Jungle
19283,Smurfy Mushotel,1,318,Smurfy Passage,Frostwisp,43,21,2,5,1,0.0,0,FB,SMF,Gigglefree TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,175.0,,0,Swift-Smurf,56.7,0,0,"Merrysnow, Wisdom Whirlwind - 12",Smurfy Jungle
83929,Village Mushotel,0,34,Smurfy Passage,Sparkleuary,7,12,1,2,2,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,78.3,0,0,"Sparkleuary, Smurfy Passage - 15",Smurfy Jungle
117920,Village Mushotel,0,217,Blissful Beams,Harvestember,32,8,0,4,2,2.0,0,HB,MCN,Giggleline TA,TA/TO,0,0,0,F,F,1,No Deposit,83.0,,0,Swift-Smurf,228.0,0,0,"Harvestember, Blissful Beams - 12",Smurfy Jungle
32466,Smurfy Mushotel,0,132,Blissful Beams,Blossommonth,4,25,0,3,2,0.0,0,BB,WSD,Giggleline TA,TA/TO,0,0,0,E,F,0,No Deposit,241.0,,0,Swift-Smurf,57.74,0,1,"Blossommonth, Blissful Beams - 28",Smurfy Jungle
591,Smurfy Mushotel,0,28,Wisdom Whirlwind,Smurfly,30,20,2,5,2,1.0,0,FB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,15.0,,0,Swift-Smurf,192.5,0,1,"Smurfly, Wisdom Whirlwind - 27",Smurfy Jungle
96140,Village Mushotel,0,142,Smurfy Passage,Harvestember,35,22,2,5,2,0.0,0,SC,WSD,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Swift-Smurf,68.8,0,1,"Harvestember, Smurfy Passage - 29",Smurfy Jungle
89652,Village Mushotel,0,0,Smurfy Passage,Rainboway,22,23,1,0,1,0.0,0,BB,WSD,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,,0,Swift-Party,115.0,0,1,"Rainboway, Smurfy Passage - 24",Smurfy Jungle
12966,Smurfy Mushotel,1,289,Blissful Beams,Smurfly,30,25,0,4,2,1.0,0,BB,AUS,Giggleline TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Swift-Smurf,172.8,0,0,"Sproutpril, Blissful Beams - 19",Smurfy Jungle
89376,Village Mushotel,0,0,Smurfy Passage,Rainboway,21,20,0,1,1,0.0,0,SC,ITA,Smurfy Way,Smurfy Way,0,0,0,A,B,1,No Deposit,,,0,Swift-Party,149.0,0,0,"Rainboway, Smurfy Passage - 21",Smurfy Jungle
504,Smurfy Mushotel,1,0,Wisdom Whirlwind,Smurfly,29,17,0,1,2,0.0,0,BB,SMF,Smurfy Way,Smurfy Way,0,0,0,L,C,0,No Deposit,,,0,Swift-Smurf,136.0,0,0,"Smurfly, Wisdom Whirlwind - 17",Smurfy Jungle
110208,Village Mushotel,0,83,Blissful Beams,Sproutpril,17,23,2,3,2,0.0,0,BB,BRA,Giggleline TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Swift-Smurf,12.0,0,2,"Sproutpril, Blissful Beams - 28",Smurfy Jungle
111972,Village Mushotel,0,20,Blissful Beams,Rainboway,20,15,1,2,2,0.0,0,BB,FRK,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,163.33,0,2,"Rainboway, Blissful Beams - 18",Smurfy Jungle
88554,Village Mushotel,0,185,Smurfy Passage,Rainboway,19,6,0,2,3,0.0,0,BB,WSD,Giggleline TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Swift-Smurf,116.77,0,3,"Rainboway, Smurfy Passage - 08",Smurfy Jungle
92859,Village Mushotel,0,34,Smurfy Passage,Smurfly,28,9,2,2,2,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,135.9,0,1,"Smurfly, Smurfy Passage - 13",Smurfy Jungle
105627,Village Mushotel,0,3,Blissful Beams,Sparkleuary,6,10,1,2,2,0.0,0,SC,FRK,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,88.0,0,0,"Sparkleuary, Blissful Beams - 13",Smurfy Jungle
11436,Smurfy Mushotel,1,82,Blissful Beams,Rainboway,19,8,1,3,2,0.0,0,BB,ROU,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,85.0,0,0,"Sparkleuary, Blissful Beams - 17",Smurfy Jungle
75038,Village Mushotel,1,264,Wisdom Whirlwind,Smurfly,28,8,0,2,2,0.0,0,BB,SMF,Squads,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Swift-Party,62.0,0,0,"Sunspark, Wisdom Whirlwind - 29",Smurfy Jungle
46546,Village Mushotel,0,33,Smurfy Passage,Blossommonth,2,6,0,2,0,2.0,0,BB,BRA,Giggleline TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Swift-Party,6.0,0,1,"Blossommonth, Smurfy Passage - 08",Smurfy Jungle
3639,Smurfy Mushotel,1,76,Wisdom Whirlwind,Merrysnow,53,28,3,8,1,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,46.64,0,1,"Hearthglen, Wisdom Whirlwind - 17",Smurfy Jungle
55116,Village Mushotel,1,207,Smurfy Passage,Harvestember,32,5,0,2,2,0.0,0,BB,BRA,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,105.3,0,1,"Harvestember, Smurfy Passage - 02",Smurfy Jungle
58250,Village Mushotel,1,212,Smurfy Passage,Frostwisp,42,9,2,2,2,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Swift-Smurf,75.23,0,0,"Frostmarch, Smurfy Passage - 12",Smurfy Jungle
57858,Village Mushotel,1,157,Smurfy Passage,Frostwisp,40,1,2,5,2,0.0,0,BB,FRK,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,132.3,0,0,"Rainboway, Smurfy Passage - 04",Smurfy Jungle
113984,Village Mushotel,0,20,Blissful Beams,Sunspark,24,12,1,2,3,0.0,0,BB,FRK,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,179.0,0,1,"Sunspark, Blissful Beams - 15",Smurfy Jungle
117302,Village Mushotel,0,155,Blissful Beams,Smurfly,30,28,2,3,2,0.0,0,BB,AUT,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,130.5,0,0,"Harvestember, Blissful Beams - 02",Smurfy Jungle
115107,Village Mushotel,0,169,Blissful Beams,Sunspark,26,29,0,3,2,1.0,0,BB,FRK,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,131.7,0,1,"Smurfly, Blissful Beams - 02",Smurfy Jungle
108874,Village Mushotel,0,57,Blissful Beams,Sproutpril,13,1,1,1,2,0.0,0,SC,WSD,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,99.0,0,2,"Sproutpril, Blissful Beams - 03",Smurfy Jungle
101612,Village Mushotel,0,30,Smurfy Passage,Hearthglen,47,14,1,0,2,0.0,0,SC,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,88.0,0,1,"Hearthglen, Smurfy Passage - 15",Smurfy Jungle
108079,Village Mushotel,0,3,Blissful Beams,Frostmarch,12,20,1,1,1,0.0,0,BB,IRL,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Swift-Smurf,128.0,0,1,"Frostmarch, Blissful Beams - 22",Smurfy Jungle
51334,Village Mushotel,1,37,Smurfy Passage,Rainboway,21,18,0,2,1,0.0,0,BB,SMF,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,179.0,0,Swift-Smurf,89.0,0,0,"Rainboway, Smurfy Passage - 18",Smurfy Jungle
7377,Smurfy Mushotel,1,16,Smurfy Passage,Harvestember,32,6,2,3,2,0.0,0,HB,MRA,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,251.0,0,0,"Smurfly, Smurfy Passage - 26",Smurfy Jungle
89517,Village Mushotel,0,14,Smurfy Passage,Rainboway,21,18,0,4,1,0.0,0,BB,SMF,Gigglefree TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Swift-Party,62.0,0,0,"Rainboway, Smurfy Passage - 22",Smurfy Jungle
35241,Smurfy Mushotel,0,87,Blissful Beams,Sproutpril,16,16,1,0,2,0.0,0,BB,BEL,Gigglefree TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Swift-Smurf,62.0,0,0,"Sproutpril, Blissful Beams - 17",Smurfy Jungle
52171,Village Mushotel,1,35,Smurfy Passage,Sunspark,23,1,0,2,2,0.0,0,SC,CHN,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,84.24,0,0,"Sunspark, Smurfy Passage - 01",Smurfy Jungle
36679,Smurfy Mushotel,0,106,Blissful Beams,Rainboway,21,22,1,3,2,0.0,0,HB,MCN,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Smurf,119.0,0,2,"Rainboway, Blissful Beams - 26",Smurfy Jungle
12449,Smurfy Mushotel,1,51,Blissful Beams,Sunspark,26,30,2,2,2,0.0,0,BB,SMF,Corporate,Corporate,0,0,0,D,D,0,No Deposit,531.0,,0,Swift-Smurf,76.0,0,0,"Rainboway, Blissful Beams - 12",Smurfy Jungle
10232,Smurfy Mushotel,1,70,Blissful Beams,Sparkleuary,8,22,0,4,2,0.0,0,BB,SMF,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,405.0,0,Swift-Party,42.0,0,0,"Merrysnow, Smurfy Passage - 14",Smurfy Jungle
40989,Village Mushotel,0,0,Wisdom Whirlwind,Harvestember,33,10,1,2,2,0.0,0,BB,SMF,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,115.0,1,0,"Harvestember, Wisdom Whirlwind - 13",Smurfy Jungle
78334,Village Mushotel,0,4,Blissful Beams,Blossommonth,5,31,0,2,1,0.0,0,BB,SMF,Corporate,Corporate,1,4,26,A,A,0,No Deposit,,40.0,0,Swift-Smurf,67.0,1,0,"Sparkleuary, Blissful Beams - 02",Smurfy Jungle
64875,Village Mushotel,1,97,Blissful Beams,Frostmarch,11,18,2,2,2,0.0,0,SC,MCN,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Swift-Smurf,74.8,0,0,"Merrysnow, Smurfy Passage - 11",Smurfy Jungle
13254,Smurfy Mushotel,1,31,Blissful Beams,Harvestember,32,6,2,3,2,0.0,0,HB,SMF,Giggleline TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Swift-Smurf,225.6,0,1,"Smurfly, Blissful Beams - 11",Smurfy Jungle
35499,Smurfy Mushotel,0,168,Blissful Beams,Sproutpril,16,19,1,4,2,0.0,0,BB,MCN,Giggleline TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Swift-Party,67.6,1,1,"Sproutpril, Blissful Beams - 24",Smurfy Jungle
3715,Smurfy Mushotel,1,114,Wisdom Whirlwind,Merrysnow,53,31,0,2,2,0.0,0,BB,SMF,Smurfy Way,Smurfy Way,0,0,0,E,E,0,No Deposit,250.0,,0,Swift-Smurf,95.85,0,0,"Merrysnow, Wisdom Whirlwind - 19",Smurfy Jungle
