id,satisfied,evaluation,projects,work_hours,total_time_spent,had_accident,still_working,got_promoted,department,salary_range
25,0.72,0.84," SecCamp ,Smurfs  ,Salah lFrog",167,3,0,0,0,sales,medium
26,0................91,0.68,"AiFest23,Penalizing System,SecCamp ",218,3,1,0,0,accounting,medium
27,0.74,0.76,"  AiFest23  ,Smurfs,Salah lFrog,SecCamp ,  Drug Design  ",104,4,0,0,0,support,low
28,0.64,0.67,"Raid Dorms Cook,AiFest23,WebCamp",143,6,0,0,0,sales,medium
29,0.57,0.49,"Penalizing System,Raid Dorms Cook",237,2,0,0,0,support,low
30,0.1,0.84,"Smurfs,  Drug Design  ,Raid Dorms Cook,Drug Design,  Penalizing System",303,5,0,1,0,accounting,medium
31,0.45,0.53,"Smurfs  ,Smurfs",129,3,0,1,0,technical,high
32,0.73,0.97,"Raid Dorms Cook,WebCamp,  Penalizing System,Farmy",163,3,0,0,0,sales,medium
33,0.61,0.72,"Penalizing System,Smurfs  ,Drug Design,SecCamp ",209,2,0,0,0,support,medium
34,0.21,0.78,"Drug Design,Raid Dorms Cook, SecCamp ,Smurfs",218,6,0,0,0,technical,low
35,0.39,0.51,"Drug Design,WebCamp",129,3,0,1,0,IT,low
36,0.82,0.59,"Penalizing System,  Penalizing System,Smurfs,SecCamp ,AiFest23",170,3,0,0,0,product_mng,low
37,0.87,0.76,"Raid Dorms Cook,SecCamp ,Penalizing System, SecCamp ,Smurfs",182,3,0,0,0,RandD,medium
38,0.53,0.92,"Farmy,Penalizing System,Smurfs  ",199,2,0,0,0,hr,medium
39,0.75,0.83,"  AiFest23  ,Drug Design,Penalizing System,  Drug Design  ",133,4,0,0,0,hr,high
40,0.93,0.76,"WebCamp,Raid Dorms Cook,  Penalizing System",244,3,0,0,0,support,low
41,0.65,0.51,"Salah lFrog,WebCamp,  Penalizing System,SecCamp ",157,3,1,0,0,sales,medium
42,0.84,0.73,"Penalizing System,Smurfs  ,  AiFest23  ,AiFest23",197,3,0,0,1,technical,low
43,0.35,0.56,"  Drug Design  , SecCamp ,Raid Dorms Cook",144,3,0,0,0,sales,medium
44,0.77,0.48,"Raid Dorms Cook,  Penalizing System,Smurfs  ,Penalizing System,Smurfs",262,7,0,0,0,IT,medium
45,0.73,0.97,"  AiFest23  ,Smurfs,Raid Dorms Cook,Farmy,Penalizing System",217,6,0,1,0,support,medium
46,0.84,0.74,"  Penalizing System,  AiFest23  ,Farmy",182,4,0,1,0,technical,low
47,,0.49," SecCamp ,Farmy,  Drug Design  ,SecCamp ",222,3,0,0,0,management,high
48,0.92,0.94,"Raid Dorms Cook,Farmy,  Penalizing System,AiFest23,  Drug Design  ",307,5,0,1,0,IT,low
49,0.86,0.63,"AiFest23,SecCamp ,  Penalizing System, SecCamp ",244,3,0,0,0,product_mng,low
50,0.72,0.87,"Farmy, SecCamp ,WebCamp",238,3,0,0,0,IT,medium
51,0.43,0.46,"Smurfs,SecCamp ",129,3,0,1,0,technical,medium
52,,0.93,"  Drug Design  ,Salah lFrog,AiFest23,Smurfs  , SecCamp ",140,8,0,0,0,marketing,medium
53,0.53,0.73,"Farmy,Smurfs, SecCamp ,Salah lFrog",147,3,0,0,0,sales,low
54,0.75,0.83,"Raid Dorms Cook,Smurfs  ,Salah lFrog",146,3,0,0,0,support,medium
55,0.66,0.49,"Penalizing System,  Penalizing System,  AiFest23  ",206,2,0,0,0,marketing,medium
56,0.46,0.54,"SecCamp ,  Penalizing System",138,3,0,1,0,product_mng,medium
57,0.44,0.57,"Raid Dorms Cook,  Penalizing System,SecCamp , SecCamp ,Smurfs",183,2,1,0,0,sales,low
58,0.7,0.65,"Smurfs  ,WebCamp,Raid Dorms Cook,Farmy,Penalizing System",202,3,1,0,0,technical,medium
59,0.6,0.75,"Smurfs,  Penalizing System,SecCamp ,Penalizing System,Raid Dorms Cook",233,3,1,0,0,sales,low
60,0.19,0.52,"  AiFest23  ,WebCamp, SecCamp ,  Drug Design  ,Penalizing System",200,5,0,0,0,technical,low
61,0.13,0.76,"Farmy,AiFest23,  AiFest23  ,SecCamp ,Drug Design",219,4,0,0,0,technical,low
62,,0.66,"Farmy,Smurfs,SecCamp ,WebCamp,Salah lFrog,Penalizing System",229,3,0,0,0,support,medium
63,0.1,0.89,"Smurfs  ,  Penalizing System,  Drug Design  ,Raid Dorms Cook,WebCamp,Salah lFrog,  AiFest23  ",308,4,0,1,0,technical,medium
64,0.9,0.98,"Farmy, SecCamp ,  AiFest23  ,Drug Design,Smurfs",245,5,0,1,0,IT,low
65,,0.77,"  Drug Design  ,WebCamp,Smurfs  ,Smurfs,  Penalizing System",199,10,1,0,0,sales,medium
66,,0.98,"  AiFest23  ,WebCamp,Drug Design,Salah lFrog",157,3,0,0,0,marketing,medium
67,0.42,0.94,"Smurfs  ,AiFest23,  AiFest23  ,WebCamp,  Penalizing System",227,5,0,0,0,sales,medium
68,,0.55,"AiFest23,  Penalizing System, SecCamp ,  AiFest23  ,Smurfs",185,2,0,0,0,support,low
69,,0.98,"WebCamp,Smurfs  ,Penalizing System",214,3,0,0,0,technical,medium
70,0.38,0.46,"Penalizing System,Farmy",145,3,0,1,0,hr,medium
71,0.48,0.87,"  AiFest23  ,Salah lFrog,  Drug Design  ",221,2,0,0,0,sales,medium
72,0.91,0.94,"Drug Design,  Drug Design  ,Salah lFrog,Raid Dorms Cook,  Penalizing System",159,3,0,0,0,technical,low
73,0.24,0.42,"  Drug Design  ,  Penalizing System,Penalizing System,Smurfs  ,Raid Dorms Cook",210,5,0,0,0,accounting,low
74,0.68,0.65,"Smurfs  ,Farmy,Smurfs",243,2,0,0,0,sales,medium
75,0..81,0.92,"Salah lFrog,SecCamp ,Penalizing System, SecCamp ,WebCamp",239,5,0,1,0,product_mng,low
76,0.86,0.87,"  Penalizing System,Smurfs  ,Farmy",197,4,1,0,0,support,medium
77,0.39,0.45,"Smurfs,  Drug Design  ",134,3,0,1,0,technical,medium
78,1.4532006041160066,0.86,"Drug Design, SecCamp ,  Penalizing System",249,3,0,0,0,sales,low
79,0.45,0.5,"Raid Dorms Cook,Penalizing System",126,3,0,1,0,technical,low
80,,0.78,"Drug Design,Salah lFrog",198,2,0,1,0,technical,medium
81,0.66,0.67," SecCamp ,SecCamp ,Smurfs,Farmy,Salah lFrog",148,3,0,0,0,accounting,medium
82,0.72,0.51,"  Drug Design  ,AiFest23,Smurfs",146,2,1,0,0,sales,low
83,0.73,0.92,"Smurfs,Raid Dorms Cook,Drug Design,Penalizing System,  AiFest23  ",232,5,0,1,0,sales,low
84,0.1,0.91,"  Drug Design  , SecCamp ,WebCamp,Drug Design,Raid Dorms Cook,Smurfs  ",287,4,0,1,0,technical,low
85,0.91,0.61,"Farmy,Raid Dorms Cook,Penalizing System",255,3,0,0,0,accounting,medium
86,0.72,0.68,"Drug Design,Smurfs  ,Raid Dorms Cook,SecCamp ,  Penalizing System",162,5,0,0,0,marketing,low
87,,0.77," SecCamp ,  Penalizing System,WebCamp",182,2,1,0,0,support,low
88,,0.79,"Salah lFrog,AiFest23,  Drug Design  ,Drug Design,WebCamp,Farmy",292,4,0,1,0,IT,low
89,0.77,0.78,"Raid Dorms Cook,Smurfs  ,SecCamp ,Farmy",212,3,0,0,0,product_mng,low
90,0.15,0.98,"Penalizing System, SecCamp ",96,2,0,0,0,sales,high
91,0.86,0.84,"  Penalizing System,Raid Dorms Cook,Drug Design,Farmy,  Drug Design  ",222,5,0,1,0,IT,low
92,0.89,1.0,"Salah lFrog,  Penalizing System,Smurfs  ,AiFest23,Drug Design",253,5,0,1,0,technical,medium
93,0.1,0.97,"  AiFest23  ,Farmy,  Penalizing System,Raid Dorms Cook,Penalizing System,Smurfs  ",282,4,0,1,0,hr,medium
94,,0.6,"Smurfs  ,WebCamp,  Penalizing System",252,4,1,0,0,sales,low
95,0.8,0.96," SecCamp ,  Drug Design  ,Smurfs  ,Penalizing System,WebCamp",124,3,0,0,0,sales,low
96,0.53,0.75,"  AiFest23  ,  Penalizing System,Salah lFrog,Penalizing System,SecCamp ,Drug Design",192,6,0,0,0,hr,medium
97,0.13,0.78,"  Drug Design  ,WebCamp,Drug Design,Smurfs  ,  Penalizing System,AiFest23",152,2,0,1,0,support,low
98,0.6,0.55,"  AiFest23  ,SecCamp ,AiFest23,Penalizing System",204,3,0,0,0,technical,high
99,0.78,0.77,"AiFest23,  Drug Design  ",177,4,0,0,0,support,low
100,0.7,0.49,"Smurfs,  Drug Design  ,Salah lFrog,Raid Dorms Cook",173,3,0,0,0,sales,medium
101,0.79,0.83,"  Drug Design  ,Raid Dorms Cook,SecCamp ",126,10,1,0,0,support,low
102,0.12,0.42,"SecCamp ,WebCamp,  Penalizing System",110,2,0,0,0,accounting,medium
103,0.1,0.97,"Farmy,Smurfs  ,  Drug Design  ,Raid Dorms Cook,Penalizing System, SecCamp ,  AiFest23  ",254,4,0,1,0,sales,low
104,0.54,0.74," SecCamp ,  Penalizing System",166,3,0,0,0,sales,medium
105,0.9,0.98,"Drug Design,Raid Dorms Cook, SecCamp ,Penalizing System",264,6,0,1,0,product_mng,medium
106,0.88,0.72,"  Drug Design  ,SecCamp ,WebCamp",193,4,0,0,0,sales,low
107,0.83,0.95,"WebCamp,  Penalizing System,AiFest23,Smurfs  , SecCamp ",230,5,0,1,0,IT,medium
108,0.73,0.52,"AiFest23,Drug Design,Smurfs",274,2,0,0,0,technical,high
109,0.76,0.85,"  Drug Design  ,WebCamp,  AiFest23  ,SecCamp ",190,3,0,0,0,sales,medium
110,0.46,0.55,"Raid Dorms Cook,  AiFest23  ",147,3,0,1,0,product_mng,medium
111,0.77,0.89,"Drug Design,WebCamp,  AiFest23  ,Penalizing System, SecCamp ",243,5,0,1,0,technical,low
112,0.82,0.67,"Penalizing System,Drug Design,  Drug Design  ",229,3,0,0,0,sales,medium
113,0.78,0.96,"Drug Design,Salah lFrog",174,3,0,0,0,sales,low
114,0.49,0.58,"Smurfs  ,SecCamp ,  AiFest23  ",265,3,0,0,0,support,low
115,0.84,0.85,"SecCamp ,Drug Design,Smurfs",153,4,0,0,0,accounting,low
116,0.49,0.95,"  Penalizing System,Salah lFrog",181,4,1,0,0,IT,low
117,0.54,0.71,"Drug Design,AiFest23,  AiFest23  ,  Penalizing System,Salah lFrog",173,2,0,0,0,hr,low
118,,0.86,"Drug Design,  Penalizing System,Smurfs, SecCamp ",213,3,0,0,0,support,low
119,0.1,0.89,"WebCamp,  Drug Design  ,SecCamp ,Drug Design,Smurfs,AiFest23,Raid Dorms Cook",285,4,0,1,0,technical,low
120,0.48,0.86,"AiFest23,  Drug Design  ,Drug Design,Smurfs,WebCamp",198,4,0,0,0,technical,low
121,,0.93,"WebCamp,Farmy,Smurfs  ",209,3,0,0,0,product_mng,medium
122,0.57,0.98,"Smurfs  ,AiFest23,Raid Dorms Cook",171,3,0,0,0,product_mng,medium
123,0.73,0.84,"Smurfs  ,AiFest23,Penalizing System,  AiFest23  ",238,2,0,0,0,product_mng,medium
124,0.63,0.67,"  Drug Design  , SecCamp ,Smurfs,Raid Dorms Cook,  Penalizing System",263,3,0,0,0,technical,medium
125,0.79,0.84,"SecCamp ,AiFest23, SecCamp ,  Drug Design  ",144,2,1,0,0,marketing,medium
126,0.58,0.91,"Salah lFrog,WebCamp,SecCamp ",154,10,0,0,0,product_mng,high
127,0..37,0.48,"Drug Design,Smurfs  ",160,3,0,1,0,product_mng,low
128,0.52,0.53,"Smurfs,WebCamp,Penalizing System,Smurfs  ",159,4,0,0,0,sales,low
129,0.87,0.82,"  Drug Design  ,  AiFest23  ,SecCamp ,Smurfs  ",251,3,0,0,0,sales,high
130,0.45,0.48,"SecCamp ,WebCamp,Drug Design,Smurfs  ,Raid Dorms Cook",287,5,0,0,0,support,medium
131,0.47,0.76,"Smurfs  ,Farmy,Smurfs,  Drug Design  ,Drug Design,WebCamp",174,10,0,0,0,IT,medium
132,0.97,0.7,"Penalizing System,Salah lFrog,Raid Dorms Cook",253,3,0,0,0,sales,medium
133,0.58,0.77,"Smurfs  ,Raid Dorms Cook,Salah lFrog, SecCamp ,WebCamp",272,2,1,0,0,technical,low
134,0.85,0.97,"Farmy,Salah lFrog,  Drug Design  ",256,3,0,0,0,support,low
135,0.63,0.81,"AiFest23,Penalizing System,Drug Design",215,3,0,0,0,support,medium
136,0.1,0.78,"Smurfs, SecCamp ,Salah lFrog,AiFest23,Penalizing System,Smurfs  ,  Penalizing System",286,4,0,1,0,product_mng,low
137,,0.97,"AiFest23,Smurfs  ,Smurfs,SecCamp ",260,3,0,0,0,support,low
138,0.59,0.61,"Farmy,Penalizing System,AiFest23,  Penalizing System",141,2,1,0,0,hr,medium
139,,0.98,"Penalizing System,Raid Dorms Cook,WebCamp,  Drug Design  ",187,3,0,0,0,management,high
140,0.5,0.77,"Smurfs  ,WebCamp,SecCamp ",166,3,0,0,0,IT,medium
141,0.37,0.47,"Salah lFrog,Smurfs  ",149,3,0,1,0,sales,low
142,0.74,0.89,"SecCamp ,Salah lFrog,Smurfs  ,WebCamp,AiFest23",182,2,0,0,0,hr,low
143,0.97,0.77,"WebCamp,AiFest23,  AiFest23  ,Drug Design,SecCamp ",223,2,0,0,0,support,low
144,0.84,0.84,"Farmy,Raid Dorms Cook,AiFest23,Salah lFrog",266,3,0,0,0,support,low
145,0.83,0.99,"Raid Dorms Cook,SecCamp ,Drug Design, SecCamp ,Smurfs  ",132,3,0,0,0,technical,low
146,0.97,0.94," SecCamp ,WebCamp,Drug Design",160,3,0,0,0,support,low
147,0.63,0.43,"AiFest23,  Penalizing System",222,4,0,0,0,product_mng,high
148,0.51,0.69,"  Penalizing System,Farmy,AiFest23",135,3,0,0,0,IT,medium
149,,0.51,"  Drug Design  ,SecCamp ",146,3,0,1,0,IT,medium
150,,1.0,"  AiFest23  ,Smurfs,Raid Dorms Cook",168,3,1,0,0,RandD,medium
151,0.09,0.96,"Salah lFrog,Farmy,Drug Design,  Drug Design  ,Smurfs  ,Smurfs,WebCamp",264,4,0,1,0,accounting,medium
152,0.57,0.64,"Farmy,  Penalizing System",206,3,0,0,0,accounting,low
153,0.84,0.96,"Raid Dorms Cook, SecCamp ,Drug Design",162,3,0,0,0,sales,medium
154,,0.75,"Penalizing System,SecCamp ,Smurfs  ,Drug Design",224,3,0,0,1,sales,medium
155,0.83,0.83,"AiFest23,  Drug Design  ,Farmy,  Penalizing System,Salah lFrog",260,5,0,1,0,IT,medium
156,0.89,0.84,"  AiFest23  ,Drug Design,Smurfs  ,Raid Dorms Cook,AiFest23",168,2,0,0,0,RandD,low
157,0.32,0.67,"SecCamp ,Smurfs  ,WebCamp,Smurfs,  AiFest23  ",224,4,1,0,0,accounting,medium
158,0.11,0.94,"Farmy,Penalizing System,WebCamp,  AiFest23  , SecCamp ,AiFest23",264,4,0,1,0,IT,low
159,0.81,0.61,"Smurfs  ,Farmy,Salah lFrog,Raid Dorms Cook",142,4,0,0,0,sales,low
160,0.37,0.46,"Penalizing System,SecCamp ",149,3,0,1,0,marketing,high
161,0.41,0.47,"SecCamp ,  Drug Design  ",138,3,0,1,0,sales,low
162,0.31,0.87,"WebCamp,AiFest23,  Penalizing System,  Drug Design  ",184,3,0,1,0,technical,low
163,0.18,0.59,"Raid Dorms Cook,  Drug Design  ,Farmy,Penalizing System",132,3,0,0,0,RandD,low
164,0.27,0.82,"Salah lFrog,Penalizing System,Drug Design,  AiFest23  ",276,2,0,0,0,IT,medium
165,,0.56,"Salah lFrog,  Drug Design  ,  AiFest23  ",217,5,0,0,0,hr,medium
166,,0.68,"WebCamp,Smurfs",120,2,0,0,0,marketing,medium
167,0.68,0.51,"Smurfs  ,  Drug Design  ,WebCamp,AiFest23,SecCamp ",158,3,0,0,0,technical,medium
168,0.54,0.75,"Raid Dorms Cook,AiFest23,Smurfs  ",240,3,0,0,0,support,medium
169,0.8,0.74,"  Penalizing System,Smurfs,Penalizing System,Smurfs  ",221,4,0,0,0,product_mng,low
170,0.9,0.62,"Smurfs,Drug Design,  Penalizing System, SecCamp ,  AiFest23  ",236,6,0,0,0,technical,medium
171,0.54,0.5,"WebCamp,  Penalizing System",123,4,1,0,0,accounting,low
172,0.7,0.9,"Smurfs  ,Farmy,Penalizing System",224,3,0,0,0,support,medium
173,0.84,0.49,"  AiFest23  ,Farmy,AiFest23,WebCamp",178,3,0,0,0,support,medium
174,0.87,0.59,"WebCamp,Raid Dorms Cook,Drug Design, SecCamp ,Salah lFrog",154,3,0,0,0,support,low
175,0.61,0.55,"Salah lFrog,WebCamp,Penalizing System,Raid Dorms Cook, SecCamp ",266,2,0,0,0,sales,medium
176,0.55,0.49," SecCamp ,Smurfs  ,AiFest23,Smurfs,  Penalizing System",240,3,0,0,0,technical,high
177,0.91,0.55,"Smurfs  ,AiFest23,Salah lFrog",223,3,0,0,0,IT,low
178,0.62,0.51,"Smurfs,SecCamp ,  Penalizing System,Farmy",175,3,0,0,0,support,low
179,0.77,0.85,"Salah lFrog,WebCamp,AiFest23,Farmy,Drug Design",192,2,0,0,0,technical,low
180,0.87,0.86,"Drug Design,SecCamp ,Smurfs",196,4,0,0,0,sales,low
181,0.96,0.92,"AiFest23,Farmy,Penalizing System",150,2,0,0,0,marketing,medium
182,0.69,0.9,"Smurfs  ,Smurfs,  Penalizing System",185,4,0,0,0,product_mng,low
183,0.8,0.62,"Smurfs,Salah lFrog,  Drug Design  , SecCamp ,Raid Dorms Cook",190,4,1,0,0,IT,medium
184,0.43,0.47,"  Drug Design  ,WebCamp",144,3,0,1,0,hr,medium
185,0.43,0.38," SecCamp ,AiFest23,WebCamp",119,2,0,0,0,sales,low
186,0.85,0.94,"SecCamp ,Smurfs  ,Drug Design,  Drug Design  , SecCamp ",235,4,0,0,0,sales,low
187,0.76,0.85,"Salah lFrog,  Penalizing System,WebCamp",204,2,1,0,0,product_mng,medium
188,0.48,0.97,"  AiFest23  ,Farmy,Drug Design",224,6,0,0,0,sales,medium
189,0.45,0.75,"Salah lFrog,Smurfs",246,2,0,0,0,product_mng,medium
190,0.92,0.99,"SecCamp ,Farmy,Salah lFrog,Penalizing System,Raid Dorms Cook",255,6,0,1,0,sales,low
191,0.75,0.98,"Penalizing System,  Drug Design  ",161,3,0,0,0,product_mng,low
192,0.53,0.75,"SecCamp , SecCamp ,Drug Design,  Penalizing System",240,4,0,0,0,product_mng,low
193,,0.47,"  Drug Design  ,  AiFest23  ",131,3,0,1,0,accounting,low
194,0.49,0.63,"Salah lFrog,Penalizing System,Drug Design",181,3,1,0,0,product_mng,medium
195,0.42,0.46,"Farmy,Smurfs",147,3,0,1,0,sales,low
196,,0.82,"Drug Design,Smurfs  ,  Penalizing System,Salah lFrog, SecCamp ",158,2,0,0,0,support,low
197,0.9,0.85,"AiFest23,  Penalizing System,Salah lFrog",158,7,0,0,0,marketing,medium
198,0.61,0.56,"  Penalizing System,  Drug Design  ",160,3,0,0,0,support,medium
199,0.59,0.79,"Smurfs,Penalizing System,  Penalizing System",217,4,0,0,0,product_mng,medium
200,,0.57," SecCamp ,Smurfs  ,SecCamp ",224,2,0,0,0,hr,medium
201,,0.92,"Smurfs,AiFest23,Salah lFrog",196,4,0,0,0,sales,low
202,0.43,0.55,"Smurfs,  Drug Design  ",130,3,0,1,0,support,high
203,0.71,0.57," SecCamp ,SecCamp ,Raid Dorms Cook",207,3,0,0,0,marketing,medium
204,0.14,0.74,"Raid Dorms Cook,  AiFest23  ,AiFest23,Penalizing System",117,5,0,0,0,accounting,medium
205,0.93,0.48,"Drug Design,  AiFest23  ,  Drug Design  ",147,3,0,0,0,support,low
206,0.18,0.9,"Smurfs  , SecCamp ,Drug Design,Raid Dorms Cook",282,4,0,0,0,product_mng,medium
207,0.99,0.71,"WebCamp,Smurfs  ,  Drug Design  ,  Penalizing System",212,2,0,0,0,marketing,medium
208,0.73,0.94,"Smurfs,Raid Dorms Cook,WebCamp,AiFest23",262,3,0,0,0,support,low
209,0.4,0.5,"AiFest23,  Penalizing System",128,3,0,1,0,sales,low
210,0.62,0.69,"Penalizing System,Salah lFrog,Farmy",261,2,0,0,0,IT,medium
211,0.91,1.0,"Drug Design,Smurfs,  AiFest23  ,  Penalizing System",257,5,0,1,0,accounting,medium
212,,0.66,"Smurfs  ,  Drug Design  ,Drug Design,AiFest23,Salah lFrog",157,2,0,0,0,product_mng,low
213,0.89,0.52,"AiFest23,SecCamp ,Smurfs,Smurfs  ",189,3,0,0,0,support,medium
214,0.89,0.39,"Farmy, SecCamp ,  Drug Design  ,AiFest23,Smurfs  ",218,2,0,0,0,technical,low
215,,0.56,"Penalizing System,SecCamp ,Farmy,  AiFest23  ",281,7,0,0,0,sales,medium
216,0.87,0.52,"  Drug Design  , SecCamp ,Penalizing System,Raid Dorms Cook",140,3,0,0,0,product_mng,medium
217,,0.8," SecCamp ,SecCamp ,Penalizing System",183,2,1,0,0,RandD,medium
218,0.1,0.96,"  Drug Design  , SecCamp ,  Penalizing System,Smurfs  ,Drug Design,Penalizing System,Smurfs",255,4,0,1,0,marketing,medium
219,0.51,0.5," SecCamp ,Smurfs  ,Raid Dorms Cook,WebCamp",246,3,0,0,0,hr,low
220,0.85,0.57,"AiFest23,  Penalizing System,SecCamp ,WebCamp,Smurfs",210,3,0,0,0,sales,low
221,0.77,0.48,"Penalizing System,AiFest23,  Drug Design  ",204,6,0,0,0,sales,high
222,0.62,0.75,"Smurfs,Raid Dorms Cook,Penalizing System,WebCamp",216,2,0,0,0,sales,low
223,0.98,0.56,"SecCamp , SecCamp ,Penalizing System,Smurfs,Farmy",180,3,0,0,0,sales,medium
224,0.5,0.55,"Salah lFrog,  AiFest23  ,Smurfs  ",188,2,0,0,0,product_mng,medium
225,0.22,0.64,"AiFest23,  AiFest23  , SecCamp ",193,2,0,0,0,technical,low
226,,0.73,"  AiFest23  , SecCamp ",111,2,0,0,0,sales,low
227,0.91,0.81," SecCamp ,Drug Design,Smurfs  ,Farmy",139,2,0,0,0,technical,high
228,0.6,0.85,"Salah lFrog,Raid Dorms Cook",226,2,1,0,0,technical,medium
229,0.73,0.95,"  Drug Design  ,Penalizing System,AiFest23",258,3,0,0,0,technical,low
230,0.72,0.6,"Farmy,Drug Design,  AiFest23  ",265,2,1,0,0,sales,high
231,0.5,0.49,"Drug Design,Smurfs  ,  Drug Design  ,WebCamp,  Penalizing System",256,3,0,0,0,sales,medium
232,0.88,1.0,"  AiFest23  ,Raid Dorms Cook, SecCamp ,Penalizing System,  Penalizing System",219,6,1,1,0,technical,low
233,0.96,0.72," SecCamp ,SecCamp ,Farmy,  Drug Design  ",228,2,0,0,0,accounting,high
234,0.14,0.49," SecCamp ,SecCamp ,  Drug Design  ,  Penalizing System",115,4,0,0,0,support,medium
235,0.38,0.5,"Penalizing System,Salah lFrog",132,3,0,1,0,accounting,low
236,0.51,0.58,"  Drug Design  , SecCamp ",181,4,0,0,0,support,medium
237,0.78,0.91,"Penalizing System,  Drug Design  ,Salah lFrog,AiFest23",202,2,0,0,0,sales,medium
238,0.51,0.88," SecCamp ,Salah lFrog,Smurfs  ",202,4,0,0,0,hr,low
239,0.72,0.51,"Drug Design,  AiFest23  ,Smurfs,  Drug Design  ",164,3,0,0,0,sales,medium
240,0.73,0.78,"  Drug Design  ,Drug Design,Salah lFrog",166,2,0,0,0,marketing,medium
241,0.93,0.59,"  Penalizing System,Smurfs  ,Raid Dorms Cook",202,2,0,0,0,hr,high
242,0.14,0.54,"AiFest23,  Drug Design  ,  AiFest23  ,Farmy,Salah lFrog",275,4,1,0,0,sales,high
243,,0.77,"SecCamp ,  Penalizing System, SecCamp ,Farmy",201,5,0,0,0,marketing,medium
244,0.1,0.93,"Farmy,  Drug Design  ,Drug Design,Salah lFrog,WebCamp,Raid Dorms Cook",288,4,0,1,0,sales,medium
245,0.86,0.88,"WebCamp,Smurfs,Farmy,  Penalizing System",274,3,0,0,0,hr,medium
246,,0.67,"Penalizing System,AiFest23, SecCamp ,Smurfs  ",161,4,1,0,0,marketing,low
247,0.97,0.74,"AiFest23,Smurfs  ,Smurfs,Salah lFrog",209,2,0,0,0,sales,low
248,0.55,0.93,"  AiFest23  ,Farmy,Penalizing System, SecCamp ",239,4,0,0,0,management,low
249,0.71,0.87,"Farmy,WebCamp,  AiFest23  ",177,4,0,1,0,hr,medium
250,0.81,0.86,"  Drug Design  ,Penalizing System,  AiFest23  ,Salah lFrog,Smurfs",159,2,0,0,0,accounting,medium
251,0.56,0.75,"SecCamp ,Raid Dorms Cook",264,2,0,0,0,technical,low
252,0.55,0.71,"Smurfs  ,Salah lFrog,Raid Dorms Cook,  Penalizing System",223,3,0,0,0,sales,medium
253,0.79,0.83,"Smurfs,Farmy, SecCamp ",126,10,1,0,0,support,low
254,0.92,0.68,"SecCamp ,Salah lFrog,AiFest23, SecCamp ,Farmy",210,2,0,0,0,product_mng,low
255,0.75,0.82,"Smurfs,  AiFest23  ,Penalizing System",227,2,0,0,0,support,medium
256,0.77,0.5,"  AiFest23  ,Farmy,WebCamp,Penalizing System,Smurfs  ",170,2,0,0,0,support,low
